iter	Passed	Remaining
428	1656	2204
429	1657	2197
430	1659	2190
431	1660	2183
432	1661	2176
433	1663	2169
434	1664	2162
435	1667	2157
436	1669	2151
437	1671	2144
438	1672	2137
439	1673	2130
440	1674	2123
441	1676	2116
442	1677	2109
443	1678	2102
444	1681	2097
445	1683	2091
446	1686	2085
447	1688	2080
448	1689	2073
449	1690	2066
450	1691	2059
451	1693	2052
452	1694	2046
453	1700	2044
454	1701	2038
455	1702	2031
456	1704	2025
457	1705	2018
458	1706	2011
459	1708	2005
460	1709	1998
461	1713	1995
462	1715	1989
463	1716	1982
464	1717	1976
465	1719	1970
466	1720	1963
467	1722	1958
468	1723	1951
469	1727	1948
470	1730	1943
471	1731	1937
472	1733	1930
473	1734	1924
474	1735	1918
475	1736	1911
476	1738	1905
477	1742	1903
478	1744	1897
479	1745	1891
480	1747	1885
481	1748	1879
482	1750	1873
483	1751	1867
484	1753	1861
485	1758	1860
486	1760	1854
487	1761	1848
488	1763	1842
489	1764	1836
490	1766	1831
491	1768	1825
492	1775	1826
493	1777	1820
494	1778	1814
495	1780	1808
496	1781	1803
497	1782	1797
498	1787	1795
499	1789	1789
500	1790	1783
501	1792	1778
502	1793	1772
503	1796	1767
504	1797	1762
505	1800	1758
506	1802	1753
507	1804	1747
508	1805	1741
509	1807	1736
510	1808	1731
511	1811	1726
512	1815	1723
513	1817	1718
514	1819	1713
515	1820	1707
516	1822	1702
517	1823	1696
518	1824	1691
519	1825	1685
520	1827	1680
521	1829	1675
522	1830	1669
523	1832	1664
524	1833	1658
525	1835	1653
526	1837	1648
527	1839	1643
528	1842	1640
529	1843	1635
530	1845	1629
531	1846	1624
532	1847	1619
533	1849	1614
534	1852	1609
535	1854	1605
536	1858	1602
537	1860	1597
538	1862	1593
539	1864	1587
540	1865	1582
541	1866	1577
542	1867	1572
543	1869	1567
544	1875	1565
545	1876	1560
546	1878	1555
547	1879	1550
548	1880	1545
549	1882	1540
550	1883	1535
551	1888	1532
552	1890	1527
553	1891	1522
554	1892	1517
555	1894	1512
556	1895	1507
557	1896	1502
558	1898	1497
559	1899	1492
560	1904	1490
561	1906	1485
562	1907	1480
563	1909	1475
564	1910	1470
565	1911	1465
566	1913	1461
567	1914	1456
568	1923	1457
569	1925	1452
570	1926	1447
571	1928	1442
572	1929	1437
573	1930	1432
574	1933	1429
575	1935	1424
576	1936	1419
577	1937	1414
578	1939	1409
579	1940	1405
580	1941	1400
581	1943	1395
582	1948	1393
583	1950	1389
584	1951	1384
585	1952	1379
586	1954	1374
587	1955	1370
588	1956	1365
589	1958	1360
590	1964	1359
591	1965	1354
592	1967	1350
593	1968	1345
594	1969	1340
595	1971	1336
596	1972	1331
597	1973	1326
598	1976	1322
599	1978	1318
600	1979	1314
601	1981	1309
602	1982	1305
603	1983	1300
604	1985	1296
605	1991	1294
606	1993	1290
607	1994	1285
608	1995	1281
609	1997	1277
610	1998	1272
611	2006	1271
612	2008	1268
613	2010	1263
614	2012	1259
615	2013	1255
616	2014	1250
617	2019	1248
618	2021	1244
619	2023	1239
620	2024	1235
621	2026	1231
622	2027	1227
623	2029	1222
624	2030	1218
625	2035	1215
626	2037	1212
627	2039	1208
628	2042	1204
629	2043	1200
630	2044	1195
631	2050	1194
632	2052	1189
633	2054	1185
634	2055	1181
635	2056	1177
636	2058	1173
637	2059	1168
638	2065	1166
639	2066	1162
640	2067	1158
641	2069	1153
642	2070	1149
643	2072	1145
644	2073	1141
645	2074	1136
646	2077	1133
647	2079	1129
648	2080	1125
649	2082	1121
650	2083	1117
651	2085	1112
652	2086	1108
653	2087	1104
654	2089	1100
655	2093	1097
656	2095	1093
657	2096	1089
658	2099	1086
659	2100	1082
660	2102	1078
661	2103	1073
662	2104	1069
663	2110	1067
664	2111	1063
665	2112	1059
666	2114	1055
667	2115	1051
668	2118	1047
669	2119	1043
670	2123	1041
671	2126	1037
672	2128	1034
673	2131	1030
674	2132	1026
675	2133	1022
676	2135	1018
677	2141	1016
678	2142	1013
679	2144	1009
680	2145	1005
681	2147	1001
682	2148	997
683	2149	993
684	2154	990
685	2156	987
686	2159	983
687	2161	980
688	2162	976
689	2163	972
690	2165	968
691	2170	966
692	2172	962
693	2173	958
694	2175	954
695	2176	950
696	2177	946
697	2179	942
698	2180	938
699	2186	936
700	2187	933
701	2188	929
702	2190	925
703	2191	921
704	2193	917
705	2194	913
706	2195	909
707	2203	908
708	2206	905
709	2207	901
710	2209	897
711	2210	894
712	2216	892
713	2219	889
714	2221	885
715	2222	881
716	2223	877
717	2225	873
718	2229	871
719	2231	867
720	2233	864
721	2234	860
722	2236	856
723	2237	852
724	2238	849
725	2240	845
726	2244	842
727	2246	839
728	2248	835
729	2249	832
730	2250	828
731	2252	824
732	2253	820
733	2255	817
734	2258	814
735	2261	811
736	2262	807
737	2264	803
738	2265	800
739	2266	796
740	2268	792
741	2270	789
742	2278	788
743	2280	784
744	2282	781
745	2283	777
746	2284	773
747	2286	770
748	2288	766
749	2289	763
750	2291	759
751	2292	756
752	2294	752
753	2296	749
754	2303	747
755	2306	744
756	2307	740
757	2308	737
758	2310	733
759	2312	730
760	2317	727
761	2319	724
762	2320	720
763	2321	717
764	2322	713
765	2324	710
766	2325	706
767	2331	704
768	2332	700
769	2334	697
770	2336	693
771	2337	690
772	2339	686
773	2340	683
774	2341	679
775	2347	677
776	2348	674
777	2350	670
778	2351	667
779	2353	663
780	2355	660
781	2356	657
782	2361	654
783	2363	651
784	2364	647
785	2367	644
786	2368	641
787	2370	637
788	2372	634
789	2377	632
790	2379	628
791	2380	625
792	2382	621
793	2384	618
794	2386	615
795	2387	611
796	2390	608
797	2392	605
798	2394	602
799	2395	598
800	2397	595
801	2399	592
802	2404	589
803	2406	586
804	2407	583
805	2409	579
806	2410	576
807	2411	573
808	2413	569
809	2417	567
810	2420	563
811	2421	560
812	2422	557
813	2424	553
814	2426	550
815	2427	547
816	2428	544
817	2434	541
818	2436	538
819	2437	535
820	2443	532
821	2445	529
822	2448	526
823	2449	523
824	2451	519
825	2457	517
826	2459	514
827	2461	511
828	2462	507
829	2464	504
830	2467	501
831	2468	498
832	2474	496
833	2476	492
834	2478	489
835	2480	486
836	2482	483
837	2483	480
838	2485	477
839	2487	473
840	2489	470
841	2491	467
842	2492	464
843	2494	460
844	2495	457
845	2497	454
846	2499	451
847	2501	448
848	2503	445
849	2504	442
850	2506	438
851	2512	436
852	2514	433
853	2516	430
854	2517	427
855	2530	425
856	2532	422
857	2548	421
858	2554	419
859	2556	416
860	2557	412
861	2559	409
862	2560	406
863	2562	403
864	2565	400
865	2569	397
866	2571	394
867	2572	391
868	2574	388
869	2576	384
870	2581	382
871	2583	379
872	2584	376
873	2586	372
874	2589	369
875	2590	366
876	2595	364
877	2597	360
878	2598	357
879	2600	354
880	2602	351
881	2604	348
882	2606	345
883	2612	342
884	2613	339
885	2615	336
886	2617	333
887	2619	330
888	2620	327
889	2626	324
890	2629	321
891	2630	318
892	2632	315
893	2793	331
894	2795	327
895	2797	324
896	2799	321
897	2800	318
898	2803	314
899	2806	311
900	2809	308
901	2811	305
902	2812	302
903	2814	298
904	2816	295
905	2818	292
906	2860	293
907	2863	290
908	2898	290
909	2905	287
910	2907	284
911	2908	280
912	2910	277
913	2911	273
914	2912	270
915	2914	267
916	2921	264
917	2923	261
918	2925	257
919	2926	254
920	2928	251
921	2929	247
922	2936	244
923	2938	241
924	2939	238
925	2940	235
926	2942	231
927	2943	228
928	2945	225
929	2953	222
930	2955	219
931	2956	215
932	2957	212
933	2959	209
934	2960	205
935	2968	202
936	2969	199
937	2971	196
938	2972	193
939	2974	189
940	2975	186
941	2982	183
942	2984	180
943	2986	177
944	2987	173
945	2988	170
946	2989	167
947	2991	164
948	2999	161
949	3002	158
950	3004	154
951	3006	151
952	3018	148
953	3021	145
954	3022	142
955	3030	139
956	3032	136
957	3033	133
958	3035	129
959	3036	126
960	3038	123
961	3045	120
962	3047	117
963	3049	113
964	3050	110
965	3053	107
966	3059	104
967	3062	101
968	3063	98
969	3065	94
970	3067	91
971	3068	88
972	3073	85
973	3075	82
974	3076	78
975	3078	75
976	3080	72
977	3089	69
978	3091	66
979	3093	63
980	3094	59
981	3096	56
982	3097	53
983	3105	50
984	3107	47
985	3108	44
986	3110	40
987	3111	37
988	3112	34
989	3119	31
990	3121	28
991	3122	25
992	3123	22
993	3125	18
994	3126	15
995	3128	12
996	3135	9
997	3137	6
998	3138	3
999	3140	0
